PartPlace,VacuumAN
1.044,6.763
1.008,4.712
1.026,6.812
0.99,6.587
1.008,4.712
1.026,6.812
0.99,6.587
1.026,6.812
1.008,4.712
1.008,4.712
0.99,6.587
0.99,6.587
1.008,4.712
1.026,6.812
0.99,6.587
0.99,6.587
1.008,4.712
1.026,6.812
1.008,4.712
0.972,6.587
1.026,6.812
1.026,6.812
1.026,6.812
1.026,6.812
1.008,4.712
1.008,4.712
1.008,4.712
1.026,6.812
1.044,6.763
1.044,6.763
1.062,
1.008,4.712
1.044,6.763
1.026,6.812
1.026,6.812
1.044,6.763
0.99,6.587
1.044,6.763
0.99,6.587
1.026,6.812
1.026,6.812
1.008,4.712
1.008,4.712
1.044,6.763
1.008,4.712
1.008,4.712
1.044,6.763
1.008,4.712
1.008,4.712
1.026,6.812
1.026,6.812
1.044,6.763
1.026,6.812
1.026,6.812
1.026,6.812
0.99,6.587
0.99,6.587
1.008,4.712
0.99,6.587
1.062,
1.044,6.763
1.026,6.812
1.044,6.763
0.99,6.587
0.972,6.587
1.026,6.812
1.008,4.712
1.044,6.763
1.008,4.712
1.008,4.712
1.008,4.712
1.008,4.712
1.026,6.812
1.026,6.812
0.99,6.587
1.008,4.712
1.026,6.812
1.026,6.812
0.99,6.587
1.026,6.812
1.044,6.763
1.026,6.812
0.99,6.587
1.008,4.712
1.062,
1.026,6.812
1.026,6.812
1.026,6.812
1.044,6.763
1.008,4.712
1.026,6.812
1.026,6.812
0.99,6.587
0.972,6.587
1.008,4.712
0.972,6.587
1.008,4.712
1.008,4.712
1.008,4.712
1.008,4.712
0.99,6.587
1.008,4.712
0.99,6.587
1.008,4.712
0.99,6.587
1.026,6.812
1.044,6.763
1.008,4.712
0.972,6.587
1.026,6.812
1.008,4.712
0.99,6.587
1.008,4.712
0.99,6.587
1.026,6.812
0.972,6.587
0.99,6.587
0.99,6.587
0.99,6.587
1.008,4.712
0.99,6.587
1.044,6.763
1.026,6.812
1.026,6.812
1.044,6.763
1.008,4.712
0.99,6.587
1.026,6.812
1.008,4.712
1.008,4.712
1.008,4.712
1.026,6.812
1.026,6.812
1.008,4.712
0.99,6.587
1.008,4.712
1.026,6.812
1.026,6.812
1.026,6.812
1.026,6.812
1.044,6.763
1.026,6.812
1.026,6.812
1.044,6.763
1.026,6.812
1.026,6.812
1.008,4.712
1.008,4.712
1.026,6.812
1.026,6.812
1.044,6.763
1.026,6.812
1.026,6.812
1.062,
1.026,6.812
0.972,6.587
1.044,6.763
1.008,4.712
1.026,6.812
1.008,4.712
1.044,6.763
0.99,6.587
1.044,6.763
1.026,6.812
1.044,6.763
1.026,6.812
1.008,4.712
1.026,6.812
1.026,6.812
1.026,6.812
1.008,4.712
1.026,6.812
1.044,6.763
1.026,6.812
1.026,6.812
1.026,6.812
1.008,4.712
0.99,6.587
1.026,6.812
1.026,6.812
1.044,6.763
1.044,6.763
1.026,6.812
1.044,6.763
1.026,6.812
0.99,6.587
1.008,4.712
1.008,4.712
0.99,6.587
1.008,4.712
1.026,6.812
1.026,6.812
1.026,6.812
1.026,6.812
1.044,6.763
1.044,6.763
1.008,4.712
1.044,6.763
1.026,6.812
0.99,6.587
0.99,6.587
1.008,4.712
1.044,6.763
0.99,6.587
1.044,6.763
1.026,6.812
1.044,6.763
1.026,6.812
1.008,4.712
0.99,6.587
0.99,6.587
1.062,
1.026,6.812
1.026,6.812
1.008,4.712
1.026,6.812
1.026,6.812
1.026,6.812
1.026,6.812
1.044,6.763
1.008,4.712
1.026,6.812
1.026,6.812
1.026,6.812
1.026,6.812
0.99,6.587
1.008,4.712
0.99,6.587
0.99,6.587
1.026,6.812
1.026,6.812
1.026,6.812
1.044,6.763
1.044,6.763
1.008,4.712
1.026,6.812
1.026,6.812
1.008,4.712
1.008,4.712
1.044,6.763
1.044,6.763
1.026,6.812
1.026,6.812
1.008,4.712
1.026,6.812
0.972,6.587
0.99,6.587
